date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:07	14142/14142	---MCZ	200	added ('OK')	text/html	etag:W/%2263f1eae8-373e%22	https://wikicatcoin.com/how-to-buy.html	C:/My%20Web%20Sites/https___wikicatcoin.com_/wikicatcoin.com/how-to-buy.html	(from https://wikicatcoin.com/)
18:18:13	371/371	---M--	200	added ('OK')	image/svg+xml	etag:%2263f1eae8-173%22	https://wikicatcoin.com/assets/bolt.svg	C:/My%20Web%20Sites/https___wikicatcoin.com_/wikicatcoin.com/assets/bolt.svg	(from https://wikicatcoin.com/)
18:18:27	389/389	---M--	200	added ('OK')	image/svg+xml	etag:%2263f1eae8-185%22	https://wikicatcoin.com/assets/material-storage.svg	C:/My%20Web%20Sites/https___wikicatcoin.com_/wikicatcoin.com/assets/material-storage.svg	(from https://wikicatcoin.com/)
18:18:30	418/418	---M--	200	added ('OK')	image/svg+xml	etag:%2263f1eae8-1a2%22	https://wikicatcoin.com/assets/simple-googleanalytics.svg	C:/My%20Web%20Sites/https___wikicatcoin.com_/wikicatcoin.com/assets/simple-googleanalytics.svg	(from https://wikicatcoin.com/)
18:18:38	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=609200e5f1f70a5699a8f30f	C:/My%20Web%20Sites/https___wikicatcoin.com_/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c827ba.js	(from https://wikicatcoin.com/)
18:18:40	47662/47662	---MCZ	200	added ('OK')	text/html	etag:W/%2263f1eae8-ba2e%22	https://wikicatcoin.com/index.html	C:/My%20Web%20Sites/https___wikicatcoin.com_/wikicatcoin.com/index-2.html	(from https://wikicatcoin.com/how-to-buy.html)
18:18:42	564690/564690	---M-Z	200	added ('OK')	text/javascript	etag:%224b9ff396f41f93ed891c6e3311b767a1%22	https://uploads-ssl.webflow.com/609200e5f1f70a5699a8f30f/js/webflow.8bb174afa.js	C:/My%20Web%20Sites/https___wikicatcoin.com_/uploads-ssl.webflow.com/609200e5f1f70a5699a8f30f/js/webflow.8bb174afa.js	(from https://wikicatcoin.com/)
18:18:53	302747/302747	---M--	200	added ('OK')	image/png	etag:%2263f1eae8-49e9b%22	https://wikicatcoin.com/assets/phone.png	C:/My%20Web%20Sites/https___wikicatcoin.com_/wikicatcoin.com/assets/phone.png	(from https://wikicatcoin.com/how-to-buy.html)
18:18:54	1254/1254	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f9844d1-4e6%22	https://milankyncl.github.io/jquery-copy-to-clipboard/jquery.copy-to-clipboard.js	C:/My%20Web%20Sites/https___wikicatcoin.com_/milankyncl.github.io/jquery-copy-to-clipboard/jquery.copy-to-clipboard.js	(from https://wikicatcoin.com/how-to-buy.html)
18:19:46	6145017/6145017	---M--	200	added ('OK')	image/gif	etag:%2263f1eae8-5dc3f9%22	https://wikicatcoin.com/assets/wikicat-anim.gif	C:/My%20Web%20Sites/https___wikicatcoin.com_/wikicatcoin.com/assets/wikicat-anim.gif	(from https://wikicatcoin.com/)
